brand,price,location,date,petrol
Mol,638.0,"Lakitelek, Szikra u. 206/C",2023-11-15,100 octane petrol
Mol,638.0,"Esztergom, Dorogi út (111.sz.fkl út)",2023-11-15,100 octane petrol
Mol,638.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2023-11-15,100 octane petrol
Mol,638.0,"Vajszló, Széchenyi István út 34.  ",2023-11-15,100 octane petrol
Mol,638.0,"Harkány, Pécsi út  ",2023-11-15,100 octane petrol
Mol,638.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2023-11-15,100 octane petrol
Tele-Tank,645.9,"Nagyharsány, Beremendi út",2023-11-08,100 octane petrol
Mol,638.0,"Szigetvár, József Attila u. 66.  ",2023-11-15,100 octane petrol
Shell,663.9,"Szigetvár, József Attila u.",2023-11-15,100 octane petrol
Mol,638.0,"Villány, Virágosi út hrsz.0102.  ",2023-11-15,100 octane petrol
Tele-Tank,645.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2023-11-08,100 octane petrol
Mol,638.0,"Nagyatád, Lábodi út  30.",2023-11-15,100 octane petrol
Mol,638.0,"Szentlőrinc, Törökföld u.",2023-11-15,100 octane petrol
Mol,638.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2023-11-15,100 octane petrol
Mol,638.0,"Pécs, Maléter Pál u. Hrsz. 21169",2023-11-15,100 octane petrol
Mol,638.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2023-11-15,100 octane petrol
Omv,634.9,"Pécs, Siklósi út 45.",2023-11-15,100 octane petrol
Orlen,614.0,"Pécs, Makay",2023-11-15,100 octane petrol
Orlen,614.0,"Pécs, Megyeri",2023-11-15,100 octane petrol
Mol,638.0,"Kadarkút, Kaposvári u.  ",2023-11-15,100 octane petrol
Shell,663.9,"Pécs, Siklósi út 66.",2023-11-15,100 octane petrol
Mol,638.0,"Pécs, Endresz út  ",2023-11-15,100 octane petrol
Mol,638.0,"Pécs, Siklósi út 9.",2023-11-15,100 octane petrol
Mol,638.0,"Bóly, külterület 0184/158 hrsz.",2023-11-15,100 octane petrol
Mol,638.0,"Pécs, Szigeti út  ",2023-11-15,100 octane petrol
Mobil Petrol,621.9,"Kozármisleny, 57-es és 578-as főút körforgalmában",2023-11-10,100 octane petrol
Mol,638.0,"Nagykanizsa, Camping  ",2023-11-15,100 octane petrol
Mol,638.0,"Rédics, 86.sz.fkl. út  ",2023-11-15,100 octane petrol
Shell,663.9,"Pécs, Zsolnay u. 4.",2023-11-15,100 octane petrol
Mobil Petrol,616.9,"Nagykanizsa, 7. főút és 74. sz. főút körforgalom",2023-11-10,100 octane petrol
Omv,634.9,"Nagykanizsa, Hevesi Sándor u. 5.",2023-11-15,100 octane petrol
Shell,663.9,"Pécs, Zsolnay V. u. 41-43",2023-11-15,100 octane petrol
Mol,638.0,"Nagykanizsa, Balatoni út  ",2023-11-15,100 octane petrol
Omv,634.9,"Pécs, Zsolnay út 50.",2023-11-15,100 octane petrol
Orlen,584.0,"Nagykanizsa, Magyar u. 118.",2023-11-15,100 octane petrol
Shell,663.9,"Nagykanizsa, Balatoni út",2023-11-15,100 octane petrol
Omv,634.9,"Nagykanizsa, Virág Benedek u. 4.",2023-11-15,100 octane petrol
Mol,638.0,"Nagykanizsa, Elkerülő út - Garai út 17.",2023-11-15,100 octane petrol
Shell,663.9,"Nagykanizsa, Boszorkány u. 2.",2023-11-15,100 octane petrol
Mol Partner+,575.9,"Nagykanizsa, Magyar utca 166.",2023-11-15,100 octane petrol
Shell,663.9,"Pécs, Budai vám 1. (6.sz. főút mellett)",2023-11-15,100 octane petrol
