brand,price,location,date,petrol
Mol,581.0,"Lakitelek, Szikra u. 206/C",2023-12-22,diesel
Mol,581.0,"Esztergom, Dorogi út (111.sz.fkl út)",2023-12-22,diesel
Mol,581.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2023-12-22,diesel
Mol,581.0,"Vajszló, Széchenyi István út 34.  ",2023-12-22,diesel
Mol,581.0,"Harkány, Pécsi út  ",2023-12-22,diesel
Mol,581.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2023-12-22,diesel
Tele-Tank,582.9,"Nagyharsány, Beremendi út",2023-12-13,diesel
Mol,581.0,"Szigetvár, József Attila u. 66.  ",2023-12-22,diesel
Shell,585.9,"Szigetvár, József Attila u.",2023-12-22,diesel
Mol,581.0,"Csurgó, Iharos út  ",2023-12-22,diesel
Mol,581.0,"Villány, Virágosi út hrsz.0102.  ",2023-12-22,diesel
Tele-Tank,582.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2023-12-13,diesel
Mol,581.0,"Szalánta, 58. Főút",2023-12-22,diesel
Mol,581.0,"Nagyatád, Lábodi út  30.",2023-12-22,diesel
Mol,581.0,"Szentlőrinc, Törökföld u.",2023-12-22,diesel
Mol,581.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2023-12-22,diesel
Fer Oil 94 Kft.,575.9,"Becsehely, Hrsz. 011/31",2023-12-22,diesel
Mol,581.0,"Pécs, Maléter Pál u. Hrsz. 21169",2023-12-22,diesel
Mol,581.0,"Szentlászló, 066/2 hrsz.  ",2023-12-22,diesel
Mol,581.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2023-12-22,diesel
Omv,586.9,"Pécs, Siklósi út 45.",2023-12-22,diesel
Orlen,586.0,"Pécs, Makay",2023-12-22,diesel
Orlen,586.0,"Pécs, Megyeri",2023-12-22,diesel
Mol,581.0,"Kadarkút, Kaposvári u.  ",2023-12-22,diesel
Shell,585.9,"Pécs, Siklósi út 66.",2023-12-22,diesel
Mol,581.0,"Pécs, Endresz út  ",2023-12-22,diesel
Mol,581.0,"Pécs, Siklósi út 9.",2023-12-22,diesel
Mol,581.0,"Bóly, külterület 0184/158 hrsz.",2023-12-22,diesel
Mol,581.0,"Pécs, Szigeti út  ",2023-12-22,diesel
