"brand","price","location","date","petrol"
"MOL",301,"Budapest IX, Gubacsi u. 27. (IX.)",2023-10-03,"lpg"
"OMV",305.9,"Budapest XI, Budafoki út 111.",2023-10-03,"lpg"
"MOL",301,"Budapest XXI, Weiss Manfréd út 2.",2023-10-03,"lpg"
"MOL",301,"Budapest XI, Nagyszőlős u. 47-49. (4566/2 hrsz.)",2023-10-03,"lpg"
"MOL",301,"Budapest XIV, Vágány u. 21. (XIV.)",2023-10-03,"lpg"
"MOL",301,"Budapest IX, Napfény u. 26. (IX.)",2023-10-03,"lpg"
"MOL",301,"Budapest XI, Hunyadi János út 2. (XI.)",2023-10-03,"lpg"
"MOL",301,"Budapest XIX, Ady Endre út 22-26.",2023-10-03,"lpg"
"MOL",301,"Budapest XXI, Kossuth L. u. 3. (XXI.) ",2023-10-03,"lpg"
"Other",0,"Budapest XI, Budaörsi út 126.",2023-10-03,"lpg"
"Shell",0,"Budapest XI, Péterhegyi út 54.",2023-10-03,"lpg"
"OMV",305.9,"Budapest XXI, Védgát utca 47.",2023-10-03,"lpg"
"MOL",301,"Budapest XI, Mezőkövesd út 1.",2023-10-03,"lpg"
"MOL",301,"Budapest XIV, Csömöri út 27/A",2023-10-03,"lpg"
"Other",286,"Budapest X, Maglódi út 12/B",2023-10-03,"lpg"
"MOL",301,"Budapest XXIII, Helsinki u. 108-112.",2023-10-03,"lpg"
"Shell",0,"Budapest IV, Pozsonyi út 1.",2023-10-03,"lpg"
"MOL",309,"Budapest III, Mozaik u. 3.",2023-10-03,"lpg"
"Shell",0,"Budapest XV, Szentmihályi út 152.",2023-10-03,"lpg"
"Mobil Petrol",278,"Budapest III, Bojtár utca 78.",2023-10-03,"lpg"
"MOL",301,"Budapest XIX, Méta u. - Zádor s.",2023-10-03,"lpg"
"MOL",309,"Budapest III, Gémeskút u. 12.",2023-10-03,"lpg"
"MOL",301,"Budapest XVI, Arany J. u. 106. (XVI.)",2023-10-03,"lpg"
"MOL",301,"Budaörs, Rubik Ernő u. 3.",2023-10-03,"lpg"
"MOL",301,"Budaörs, Garibaldi u. 2.",2023-10-03,"lpg"
"Shell",0,"Budapest XVIII, Méta u. Cziffra György utca",2023-10-03,"lpg"
"Mobil Petrol",275,"Budapest XXI, II. Rákóczi Ferenc út 289-295.",2023-10-03,"lpg"
"OMV",305.9,"Budapest IV, Váci út 77. - Megyeri út sarok",2023-10-03,"lpg"
"MOL",301,"Budapest IV, Fóti út 130.",2023-10-03,"lpg"
"MOL",301,"Budapest IV, Váci út 84-90.",2023-10-03,"lpg"
"MOL",301,"Budapest XVIII, Üllői út 661. (XVIII.)",2023-10-03,"lpg"
"MOL",309,"Budakeszi, Budaörsi u. 2749/8 hrsz.",2023-10-03,"lpg"
"OMV",339.9,"Szigetszentmiklós, M0 19.km",2023-10-03,"lpg"
"MOL",301,"Budapest XXIII, Ócsai u.kimenő (XXIII.) 7.",2023-10-03,"lpg"
"MOL",301,"Budapest XVII, Cinkotai út 30.",2023-10-03,"lpg"
"OMV",305.9,"Budapest XVII, Cinkotai út 51.",2023-10-03,"lpg"
"Mobil Petrol",285,"Diósd, Balatoni út 19.",2023-10-03,"lpg"
"OMV",339.9,"Törökbálint, M0 körgyűrű 6 km",2023-10-03,"lpg"
"MOL",329,"Törökbálint, M0 autópálya 6 km. szelv.( Annahegyi pihenő) dél",2023-10-03,"lpg"
"MOL",301,"Budaörs, METRO  (Keleti utca)",2023-10-03,"lpg"
"MOL",309,"Szigetszentmiklós, Petőfi Sándor utca 139",2023-10-03,"lpg"
"Shell",0,"Budapest XVII, Pesti út 237/c",2023-10-03,"lpg"
"Avia",0,"Nagytarcsa, Naplás utca 1. ",2023-10-03,"lpg"
"Other",0,"Nagytarcsa, Naplás u. 1.",2023-10-03,"lpg"
"MOL",309,"Vecsés, Fő út 6011/2 hrsz.",2023-10-03,"lpg"
"MOL",309,"Érd, Budai út I.",2023-10-03,"lpg"
"MOL",309,"Érd, Budai út II.",2023-10-03,"lpg"
"MOL",309,"Fót, Keleti Márton út",2023-10-03,"lpg"
"MOL",309,"Pilisvörösvár, 10. sz. fkl. út (Hrsz. 0140/31.)",2023-10-03,"lpg"
"Other",304.9,"Gyál, M5 Gyál-Alsónémedi lehajtó",2023-10-03,"lpg"
"Avia",295,"Érd, Szent László tér 6.",2023-10-03,"lpg"
"OMV",305.9,"Szentendre, 11. sz. főút 17. km",2023-10-03,"lpg"
"MOL",309,"Szigethalom, Petőfi Sándor u.  ",2023-10-03,"lpg"
"MOL",309,"Érd, Ercsi út hrsz. 26297/2",2023-10-03,"lpg"
"Oil",318,"Dunavarsány, Nagyvarsányi utca 155.",2023-10-03,"lpg"
"MOL",309,"Gödöllő, 3. sz. Főút Ipari Park, Pattantyús Ábrahám krt. 4.",2023-10-03,"lpg"
"MOL",309,"Piliscsaba, 10-es fő út 1602/13. hrsz. (24. km)",2023-10-03,"lpg"
"Other",0,"Üllő, K-Sped Krt. (Viktória Ipari Park)",2023-10-03,"lpg"
"Orlen",340,"Tárnok, M7 Autópálya 26 km DÉL",2023-10-03,"lpg"
"Orlen",340,"Tárnok, M7 autópálya 26 km ÉSZAK",2023-10-03,"lpg"
"Other",293,"Herceghalom, Jókai Mór u 2/A",2023-10-03,"lpg"
"Orlen",340,"Zsámbék, M1 autópálya (Észak)",2023-10-03,"lpg"
"Orlen",340,"Zsámbék, M1 autópálya (Dél)",2023-10-03,"lpg"
"MOL",309,"Gyömrő, Mendei út  ",2023-10-03,"lpg"
"MOL",329,"Ercsi, M6 I. (kimenő) (M6 külterület 30 km szelvény)",2023-10-03,"lpg"
"MOL",329,"Ercsi, M6 II. (bejövő) (M6 külterület 30 km szelvény)",2023-10-03,"lpg"
"OMV",339.9,"Inárcs, M5 autópálya 82. kmsz. bal",2023-10-03,"lpg"
"OMV",339.9,"Inárcs, M5 autópálya 82. kmsz jobb",2023-10-03,"lpg"
"OMV",339.9,"Vál, M7, Kajászó (Váli Észak)",2023-10-03,"lpg"
"OMV",339.9,"Vál, M7, Kajászó (Váli Dél)",2023-10-03,"lpg"
"MOL",309,"Kiskunlacháza, Hadház u. 2.  ",2023-10-03,"lpg"
"MOL",309,"Vác, Diadal tér",2023-10-03,"lpg"
"Other",304.9,"Bag, M3 autópálya 39. km lehajtó (Ipari Park) 2191",2023-10-03,"lpg"
"Other",298,"Aszód, Pesti út 25.",2023-10-03,"lpg"
"MOL",309,"Aszód, Pesti út 3.  ",2023-10-03,"lpg"
"OMV",305.9,"Dorog, Bécsi út -Csolnoki út sarok hrsz.0279/8",2023-10-03,"lpg"
"Other",299,"Felcsút, Fő út 220.",2023-10-03,"lpg"
"Avia",0,"Aszód, Falujárók útja 44.",2023-10-03,"lpg"
"Avia",325,"Kápolnásnyék, 7. sz. főút 43. km",2023-10-03,"lpg"
"OMV",305.9,"Esztergom, Kertváros, Dobogókői út - Kesztölci út sarok",2023-10-03,"lpg"
"Other",0,"Újhartyán, Dragon Benz töltőállomás",2023-10-03,"lpg"
"MOL",309,"Berettyóújfalu, 42-47 főút kereszteződés Honvéd u. 2.",2023-10-03,"lpg"
"MOL",329,"Velence, M7. autópálya I.  észak",2023-10-03,"lpg"
"MOL",309,"Adony, 6.sz. fkl. út  ",2023-10-03,"lpg"
"MOL",309,"Esztergom, Visegrádi út",2023-10-03,"lpg"
"Other",0,"Hernád, Köztársaság út 45/D OUT BENZINKÚT BT",2023-10-03,"lpg"
"Other",307,"Pátka, Külterület 0190/101 (GP benzinkút)",2023-10-03,"lpg"
"MOL",309,"Rétság, 2.sz. fkl. út  ",2023-10-03,"lpg"
