brand,price,location,date,petrol
Mol,314.0,"Lakitelek, Szikra u. 206/C",2023-10-13,lpg
Mol,314.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2023-10-13,lpg
Mol,314.0,"Szigetvár, József Attila u. 66.  ",2023-10-13,lpg
Tele-Tank,318.0,"Nagyatád, Berzencei út 0220/33. hrsz.",2023-05-19,lpg
Mol,314.0,"Szalánta, 58. Főút",2023-10-13,lpg
Mol,314.0,"Szentlőrinc, Törökföld u.",2023-10-13,lpg
Mol,314.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2023-10-13,lpg
Mol,314.0,"Szentlászló, 066/2 hrsz.  ",2023-10-13,lpg
Mol,314.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2023-10-13,lpg
Omv,305.9,"Pécs, Siklósi út 45.",2023-09-24,lpg
Mol,314.0,"Pécs, Verseny utca 1.",2023-10-06,lpg
Mobil Petrol,309.9,"Kozármisleny, 57-es és 578-as főút körforgalmában",2023-10-11,lpg
Mol,314.0,"Nagykanizsa, Camping  ",2023-10-13,lpg
Mobil Petrol,309.9,"Nagykanizsa, 7. főút és 74. sz. főút körforgalom",2023-10-11,lpg
Omv,305.9,"Nagykanizsa, Virág Benedek u. 4.",2023-09-24,lpg
Mol,314.0,"Nagykanizsa, Elkerülő út - Garai út 17.",2023-10-13,lpg
Mol,314.0,"Pécs, Pécsváradi út 12.",2023-10-13,lpg
Mol,314.0,"Lenti, Széchenyi tér 3.  ",2023-10-13,lpg
Mol,314.0,"Pécs, Komlói út  ",2023-10-13,lpg
Orlen,326.0,"Galambok, 7-es főút 196km 024/5 hrsz",2023-06-14,lpg
Tele-Tank,314.0,"Magyarszék, külterület 0134/3 hrsz (66-os út mellett)",2023-06-30,lpg
Mol,314.0,"Pécsvárad, 6.sz.fkl.út  ",2023-10-13,lpg
Mol,314.0,"Kaposvár, Kanizsai u. külterület 031/7",2023-10-13,lpg
Tele-Tank,309.0,"Kaposvár, Jutai út 26/a.",2023-09-08,lpg
Mol,314.0,"Kaposvár, Guba Sándor út 3628/28 HRSZ",2023-10-13,lpg
Mol,314.0,"Kaposvár, Füredi út 180.  ",2023-10-13,lpg
Mol,314.0,"Kaposszekcső, 611-es főút 0103/27 hrsz. (Petőfi u.)",2023-10-13,lpg
Mol,314.0,"Kapospula, Rákóczi út 10.  ",2023-10-13,lpg
Avia,314.0,"Dombóvár, Kórház utca 1.",2023-09-08,lpg
