brand,price,location,date,petrol
Mol,693.0,"Lakitelek, Szikra u. 206/C",2024-02-02,premium diesel
Mol,693.0,"Esztergom, Dorogi út (111.sz.fkl út)",2024-02-02,premium diesel
Mol,693.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2024-02-02,premium diesel
Mol,693.0,"Vajszló, Széchenyi István út 34.  ",2024-02-02,premium diesel
Mol,693.0,"Harkány, Pécsi út  ",2024-02-02,premium diesel
Mol,695.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2024-02-02,premium diesel
Tele-Tank,675.9,"Nagyharsány, Beremendi út",2024-01-31,premium diesel
Mol,693.0,"Szigetvár, József Attila u. 66.  ",2024-02-02,premium diesel
Shell,694.9,"Szigetvár, József Attila u.",2024-02-02,premium diesel
Orlen,679.0,"Csurgó, Iharos út  ",2024-02-06,premium diesel
Mol,693.0,"Villány, Virágosi út hrsz.0102.  ",2024-02-02,premium diesel
Tele-Tank,675.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2024-01-31,premium diesel
Mol,693.0,"Szalánta, 58. Főút",2024-02-02,premium diesel
Mol,693.0,"Nagyatád, Lábodi út  30.",2024-02-02,premium diesel
Mol,693.0,"Szentlőrinc, Törökföld u.",2024-02-02,premium diesel
Mol,693.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2024-02-02,premium diesel
Mol,693.0,"Pécs, Maléter Pál u. Hrsz. 21169",2024-02-02,premium diesel
Mol,693.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2024-02-02,premium diesel
Omv,693.9,"Pécs, Siklósi út 45.",2024-02-04,premium diesel
Orlen,679.0,"Pécs, Makay",2024-02-02,premium diesel
Orlen,679.0,"Pécs, Megyeri",2024-02-02,premium diesel
Mol,693.0,"Kadarkút, Kaposvári u.  ",2024-02-02,premium diesel
Shell,694.9,"Pécs, Siklósi út 66.",2024-02-02,premium diesel
Mol,693.0,"Pécs, Endresz út  ",2024-02-02,premium diesel
Mol,693.0,"Pécs, Siklósi út 9.",2024-02-02,premium diesel
Mol,706.0,"Bóly, külterület 0184/158 hrsz.",2024-02-02,premium diesel
Mol,693.0,"Pécs, Szigeti út  ",2024-02-02,premium diesel
