"brand","price","location","date","petrol"
"OMV",634.9,"Budapest VIII, Baross u. 5. (Kálvin tér)",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest IX, Haller u. 56.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest VIII, Teleki tér",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest IX, Könyves Kálmán krt. 18-20",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IX, Mester u. 89.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest VIII, Könyves Kálmán krt. 76. (Könyves/Kőbányai sarok",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Irinyi út 34-36.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest VIII, Kerepesi út 22.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Budafoki út 111.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IX, Üllői út 137.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IX, Gyáli út 30.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest X, Üllői út 110-112.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIV, Hungária krt. 116-118.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XI, Tétényi út 2.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest IX, Kén u. 1.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest VI, Dózsa György út 120.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIV, Hungária krt. 175-177.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Budaörsi út 1. (BAH-csomópont)",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIV, Egressy út 31-35.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XI, Budafoki út 209-215.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest I, Alkotás u. 20-24.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIV, Fogarasi út 56/A.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest II, Tölgyfa u. 1-3.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest II, Csalogány u. 55.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Fehérvári út 166.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIII, Róbert Károly krt. 64-66.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest X, Kőrösi Csoma Sándor út",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IX, Határ út - Soroksári út sarok",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIX, Üllői út 233.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Budaörsi út 112.",2023-10-11,"premium octane petrol"
"OMV",664.9,"Budapest XI, Balatoni út M1/M7 756/17 hrsz",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XI, Péterhegyi út 54.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest X, Kerepesi út 61.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest II, Szilágyi Erzsébet fasor 51.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XI, Péterhegyi út 66-68. ",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XXI, Védgát utca 47.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest X, Maglódi út - Jászberényi út sarok",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIV, Kacsóh Pongrác út 131.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIII, Béke út 58.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIV, Tengerszem u. 61-67.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XIII, Váci út 95.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest X, Kerepesi út 73.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIV, Fogarasi út 183.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest X, Sibrik Miklós út 30.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIV, Füredi út 63.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XX, Nagykőrösi út 185",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest II, Szilágyi E. fasor 125.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XXII, Hajó út, Ártér u. 5.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XV, Alkotmány út 14-20.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XI, Budaörsi út 118.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XXI, Csepel, Rákóczi Ferenc út 182.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XVIII, Gyömrői út 156.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest IV, Pozsonyi út 1.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XXI, II. Rákóczi Ferenc út 189.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XIII, Váci út 196.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest III, Bécsi út 277. A",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XV, Szentmihályi út 152.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XX, Mártírok útja 281.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XV, Szentmihályi út 131.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IV, Váci út 16.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budaörs, Kinizsi út 1-3.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XV, Széchenyi tér 1.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XXII, Nagytétényi út 27.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XXIII, Nagykőrösi út 349.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest II, Hűvösvölgyi út 118.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVI, Szlovák út - Csömöri út sarok",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVIII, Haladás utca - Ráday út sarok",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest IV, Váci út 77. - Megyeri út sarok",2023-10-11,"premium octane petrol"
"Shell",662.9,"Budapest XV, M3 12 km Észak - Szilas Pihenő",2023-10-11,"premium octane petrol"
"Shell",662.9,"Budapest XV, M3 12. km Dél - Szilas Pihenő",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest III, Szentendrei út - Czetz J. u. sarok",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVI, Szabadföldi út 1.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XXIII, Haraszti út 32/A",2023-10-11,"premium octane petrol"
"Shell",662.9,"Szigetszentmiklós, M0 Szigetszentmiklós",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XXIII, Haraszti út 38./b",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest III, Királyok útja 178.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budakeszi, Szőlőskert u. 1.",2023-10-11,"premium octane petrol"
"OMV",664.9,"Szigetszentmiklós, M0 19.km",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest III, Szentendrei út 373.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest III, Batthyány út 27.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVII, Pesti út 18.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVIII, Alacskai út 1.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Budapest XVII, Cinkotai út 51.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Üröm, Bécsi u. 2.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Törökbálint, Park u. 1.",2023-10-11,"premium octane petrol"
"OMV",664.9,"Törökbálint, M0 körgyűrű 6 km",2023-10-11,"premium octane petrol"
"Shell",635.9,"Szigetszentmiklós, Csepeli út 19.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Budapest XVII, Pesti út 237/c",2023-10-11,"premium octane petrol"
"Shell",635.9,"Solymár, Rózsika u. 2.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Vecsés, 4. sz. főút",2023-10-11,"premium octane petrol"
"OMV",634.9,"Dunaharaszti, Némedi u. sarok 51. sz. főút",2023-10-11,"premium octane petrol"
"Other",598,"Halásztelek, II. Rákóczi Ferenc út 29/10 hrsz. ",2023-10-11,"premium octane petrol"
"Shell",635.9,"Érd, Budafoki utca 2-4.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Kistarcsa, Szabadság u. 56.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Vecsés, Gyáli út 20-22.",2023-10-11,"premium octane petrol"
"Shell",635.9,"Dunakeszi, 2-es főút",2023-10-11,"premium octane petrol"
"Shell",635.9,"Érd, Iparos út 42.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Szigetszentmiklós, Gyári út 3237 hrsz. ",2023-10-11,"premium octane petrol"
"OMV",634.9,"Fót, Szabó Dezső u. 2/B.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Szentendre, 11. sz. főút 17. km",2023-10-11,"premium octane petrol"
"OMV",0,"Érd, 6.sz. főút jobb 23km",2023-10-11,"premium octane petrol"
"OMV",0,"Érd, 6.sz. főút bal 23km",2023-10-11,"premium octane petrol"
"Shell",635.9,"Dunakeszi, 2/A főút Kelet",2023-10-11,"premium octane petrol"
"Shell",635.9,"Dunakeszi, 2/A főút Nyugat",2023-10-11,"premium octane petrol"
"OMV",634.9,"Alsónémedi, Alsónémedi 5. sz. főút",2023-10-11,"premium octane petrol"
"OMV",634.9,"Maglód, Jászberényi út",2023-10-11,"premium octane petrol"
"Shell",635.9,"Százhalombatta, Damjanich u. 29.",2023-10-11,"premium octane petrol"
"Other",0,"Üllő, K-Sped Krt. (Viktória Ipari Park)",2023-10-11,"premium octane petrol"
"Shell",635.9,"Gödöllő, Dózsa Gy. út 108.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Veresegyház, Fő u. 2/2.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Zsámbék, Herceghalmi út",2023-10-11,"premium octane petrol"
"OMV",679.9,"Inárcs, M5 autópálya 82. kmsz. bal",2023-10-11,"premium octane petrol"
"OMV",679.9,"Inárcs, M5 autópálya 82. kmsz jobb",2023-10-11,"premium octane petrol"
"Shell",635.9,"Monor, Vasadi u. 1.",2023-10-11,"premium octane petrol"
"OMV",634.9,"Vác, Gödöllői út 1.",2023-10-11,"premium octane petrol"
"OMV",669.9,"Vál, M7, Kajászó (Váli Észak)",2023-10-11,"premium octane petrol"
